seller-sku	asin1	price	quantity
11640_DE	B0B7GCB7Y8	44.99	17
11647_DE	B0BX4Y966G	108.68	8
11649_DE	B0BB1TM834	25	4
11650_DE	B0BB1TTJH9	33.09	100
11651_DE	B0BB1W9VCP	101.82	20
11654_DE	B0BB1Y591H	41.14	20
11655_DE	B0BB1Y5L8B	29.68	20
11656_DE	B0BB2523ZD	79.79	5
11657_DE	B0BB25MRY4	70.92	100
11658_DE	B0BB263593	25	100
11659_DE	B0BB268Q7F	25	5
1165_DE	B07YK8KRS7	90.8	43
11660_DE	B0BB271GVZ	196.03	100
11663_DE	B0BB27ZVLB	115.52	20
11665_DE	B0BB29RXZR	25	100
11666_DE	B0BB29Y49Y	25	8
11667_DE	B0BB2B46NN	344.62	20
11669_DE	B0BBCR3YLX	26.1	20
1166_DE	B07YK8TX28	90.42	45
11673_DE	B0BBJM6GL1	168.3	100
11677_DE	B0BBMTWMNL	57.32	100
11678_DE	B0BBVQPT97	25	100
11679_DE	B0BBVQYK1K	25	100
1167_DE	B07YLG1M1J	77.25	25
11680_DE	B0BBVRGYNN	62.13	100
11681_DE	B0BBVS9LWZ	25	20
11684_DE	B0BBVVFZN9	295.48	20
11686_DE	B0BC1NJWZH	149.26	100
11688_DE	B0BC9BWGKL	66.1	100
11689_DE	B0BC9HWPNT	66.1	100
1168_DE	B07YNQZG4T	25	252
11690_DE	B0BCH35PR1	29.03	81
11700_DE	B0BF8JBYKQ	34.99	100
11706_DE	B0BFHT9JHX	38.84	5
11707_DE	B0BFHW56VC	42.88	2
11708_DE	B0C5SSKXVZ	25	22
11711_DE	B0BG5L6WBF	25	35
11713_DE	B0BGHHKL86	66.2	100
11715_DE	B0BH5BCZRP	449.55	11
11718_DE	B0BHSWM4QK	78.91	100
11721_DE	B0BHZ3F2ND	49.52	100
11728_DE	B0BJK776DP	62.89	7
11729_DE	B0BJK7XHJ2	55.85	11
11730_DE	B0BJKHDZ6K	47.29	10
11731_DE	B0BJKHQQSV	55.85	9
11732_DE	B0BJKJF248	53.39	6
11734_DE	B0BKLHVCBB	128.28	5
11738_DE	B0BL7FMLR6	66.12	100
11746_DE	B0BPYBVKN6	885.13	22
11753_DE	B0BS9W8K5S	25	44
11755_DE	B0BSH64SPH	156.77	100
11758_DE	B0BTM8PBDJ	54.81	1
11764_DE	B0BWFM816J	82.27	100
11769_DE	B0BXFRMG73	114.86	18
11779_DE	B0BXLVQR67	879.37	13
11780_DE	B0BXLWHFRS	25	52
11781_DE	B0BXLWVWZW	36.45	666
11784_DE	B0BXLXB3WG	25	2036
11787_DE	B0BXLXP378	51.74	277
11790_DE	B000LW5FFM	25	100
11793_DE	B0BXLYNDN3	124.52	1
117_DE	B0018L5FA0	25	7
11804_DE	B000LWAAV6	25	100
11806_DE	B000LWEC8I	25	100
11811_DE	B0C1CQXS48	279.66	6
11813_DE	B0C1P1ZJDV	25	3
11820_DE	B00144G1EK	25	200
